Product,Date,Campaign Name,Target Audience,Message,Creative,Total Request,Sent,Delivered,Read,Failed
DMT,11-01-2024 11:01,dmt_1,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (January 2023 Offer)",,275,275,192,157,74
DMT,11-01-2024 11:03,dmt_2,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (January 2023 Offer)",,77,77,51,45,25
DMT,11-01-2024 11:03,dmt_3,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.03% Commission, To achieve *Slab 2* Targets & *get Additional 0.04% Commission. (January 2023 Offer)",,80,80,61,51,17
VKYC,11-01-2024 17:37,finopay_min_kyc_eng,VKYC initiated but not completed customer base,"Free movie tickets worth Rs. {{1}}. Just click on the link {{2}} to complete your video KYC by {{3}}.

-Fino",,4447,4447,3361,2434,522
FinoPay Funding,11-01-2024 17:59,finopay_ott_funding_eng,Customers who didnt fund their finopay savings account,"Now Fund your FinoPay Savings Account to watch your favourite web series.

1. Get 18 OTTplay channels subscription worth ₹ 1532/- for a month in just *₹ 1/-*. 
2. Complete your Video KYC and get 2 BookMyShow voucher worth Rs.500! 
*For detailed T&C, visit our website.

- Fino Payments Bank",,4447,4447,3324,2366,566
Digital Savings Account Expiration,12-01-2024 11:23,finopay_renewals_eng,Customers nearing expiration of their digital savings account,"*Now get cashback on renewal!!*
 
Your annual subscription for FinoPay Savings account ending with {{1}} is due on {{2}} , kindly maintain sufficient balance and get *Rs.250/-* cashback.

-Fino",NA,1582,1582,1366,1010,94
FinoPay Funding,12-01-2024 11:31,finopay_funding_eng,Customers who didnt fund their finopay savings account,"Now Fund your FinoPay Savings Account to watch your favourite web series.

1. Get 18 OTTplay channels subscription worth ₹ 1532/- for a month in just *₹ 1/-*. 
2. Complete your Video KYC and get 2 BookMyShow voucher worth Rs.500! 
*For detailed T&C, visit our website.

- Fino Payments Bank",,17861,17861,13412,8960,1925
VKYC,12-01-2024 11:39,finopay_min_kyc_eng,VKYC initiated but not completed customer base,"Free movie tickets worth Rs. {{1}}. Just click on the link {{2}} to complete your video KYC by {{3}}.

-Fino",,4447,4447,3354,2232,521
DMT,12-01-2024 12:39,dmt_1followup,Merchant Base,"*डीएमटी व्यवसाय पर अतिरिक्त कमीशन!*

डीएमटी के लिए स्लैब 1 लक्ष्य प्राप्त करें और अतिरिक्त 0.02% कमीशन प्राप्त करें।, डीएमटी के लिए स्लैब 2 लक्ष्य प्राप्त करें और अतिरिक्त 0.03% कमीशन प्राप्त करें। (जनवरी 2024 ऑफर)",,275,275,190,153,74
DMT,12-01-2024 12:45,dmt_2followup,Merchant Base,"*डीएमटी व्यवसाय पर अतिरिक्त कमीशन!*

डीएमटी के लिए स्लैब 1 लक्ष्य प्राप्त करें और अतिरिक्त 0.02% कमीशन प्राप्त करें।, डीएमटी के लिए स्लैब 2 लक्ष्य प्राप्त करें और अतिरिक्त 0.03% कमीशन प्राप्त करें। (जनवरी 2024 ऑफर)",,77,77,51,47,25
